51	0.10000	-14.882	253.961	171.423	5.342	255.243	171.539	184.117	252.561	172.711	204.028	253.028	172.945
52	0.10200	-14.880	253.956	171.376	5.336	255.247	171.479	184.116	252.546	172.677	204.043	253.013	172.911
53	0.10400	-14.888	253.966	171.365	5.341	255.263	171.514	184.124	252.556	172.665	204.036	253.020	172.928
54	0.10600	-14.894	253.962	171.319	5.339	255.273	171.502	184.133	252.571	172.700	204.044	253.038	172.933
55	0.10800	-14.879	253.974	171.382	5.337	255.248	171.481	184.118	252.581	172.687	204.044	253.045	172.950
56	0.11000	-14.885	253.964	171.394	5.347	255.247	171.511	184.125	252.544	172.707	204.044	253.030	172.916
57	0.11200	-14.887	253.969	171.367	5.336	255.261	171.544	184.102	252.554	172.696	204.036	253.020	172.928
58	0.11400	-14.894	253.958	171.378	5.356	255.263	171.515	184.110	252.571	172.700	204.044	253.030	172.916
59	0.11600	-14.894	253.958	171.378	5.341	255.264	171.515	184.102	252.564	172.683	204.030	253.053	172.968
60	0.11800	-14.872	253.968	171.367	5.348	255.263	171.515	184.133	252.563	172.683	204.037	253.030	172.917
61	0.12000	-14.886	253.959	171.379	5.337	255.267	171.488	184.133	252.583	172.659	204.037	253.047	172.922
62	0.12200	-14.896	253.979	171.355	5.335	255.270	171.459	184.102	252.566	172.655	204.052	253.030	172.916
63	0.12400	-14.887	253.997	171.361	5.341	255.243	171.467	184.125	252.576	172.642	204.044	253.025	172.871
64	0.12600	-14.890	253.961	171.350	5.334	255.233	171.478	184.133	252.553	172.695	204.052	253.032	172.887
65	0.12800	-14.885	253.964	171.321	5.351	255.259	171.471	184.132	252.558	172.637	204.052	253.037	172.934
66	0.13000	-14.880	253.968	171.366	5.349	255.242	171.466	184.125	252.556	172.667	204.045	253.047	172.922
67	0.13200	-14.877	253.976	171.384	5.355	255.274	171.504	184.140	252.563	172.683	204.060	253.044	172.950
68	0.13400	-14.880	253.968	171.366	5.364	255.255	171.529	184.141	252.583	172.659	204.067	253.029	172.916
69	0.13600	-14.873	253.952	171.363	5.355	255.263	171.515	184.140	252.556	172.666	204.067	253.047	172.921
70	0.13800	-14.872	253.969	171.368	5.349	255.253	171.527	184.133	252.573	172.671	204.060	253.057	172.909
71	0.14000	-14.866	253.962	171.423	5.364	255.272	171.534	184.133	252.563	172.683	204.067	253.047	172.921
72	0.14200	-14.863	253.948	171.390	5.365	255.254	171.528	184.155	252.535	172.690	204.059	253.037	172.933
73	0.14400	-14.855	253.948	171.391	5.362	255.219	171.518	184.148	252.553	172.695	204.067	253.025	172.974
74	0.14600	-14.839	253.921	171.398	5.371	255.226	171.535	184.155	252.543	172.707	204.089	253.019	172.928
75	0.14800	-14.853	253.927	171.414	5.396	255.234	171.552	184.140	252.541	172.736	204.075	253.032	172.991
76	0.15000	-14.846	253.938	171.402	5.387	255.234	171.553	184.162	252.533	172.718	204.073	252.990	172.964
77	0.15200	-14.842	253.924	171.442	5.395	255.216	171.547	184.155	252.523	172.731	204.089	253.007	172.969
78	0.15400	-14.845	253.900	171.420	5.395	255.206	171.559	184.156	252.528	172.777	204.081	253.007	172.969
79	0.15600	-14.844	253.917	171.425	5.379	255.226	171.535	184.148	252.528	172.776	204.089	252.994	173.010
80	0.15800	-14.826	253.898	171.450	5.389	255.178	171.565	184.162	252.523	172.730	204.089	252.994	173.009
81	0.16000	-14.835	253.907	171.438	5.418	255.226	171.607	184.177	252.513	172.742	204.089	253.012	173.014
82	0.16200	-14.831	253.910	171.409	5.385	255.203	171.587	184.162	252.503	172.754	204.074	252.997	172.981
83	0.16400	-14.826	253.914	171.454	5.389	255.187	171.551	184.178	252.503	172.754	204.089	252.994	173.009
84	0.16600	-14.825	253.904	171.466	5.401	255.219	171.590	184.155	252.518	172.788	204.088	252.977	173.004
85	0.16800	-14.836	253.906	171.437	5.396	255.204	171.557	184.162	252.503	172.754	204.096	252.994	173.009
86	0.17000	-14.836	253.935	171.430	5.385	255.203	171.587	184.155	252.538	172.764	204.096	252.997	172.980
87	0.17200	-14.823	253.926	171.412	5.399	255.212	171.573	184.163	252.538	172.764	204.096	253.004	172.997
88	0.17400	-14.832	253.932	171.459	5.401	255.225	171.533	184.163	252.538	172.764	204.089	253.024	172.973
89	0.17600	-14.855	253.936	171.400	5.398	255.222	171.561	184.155	252.541	172.735	204.097	253.014	172.985
90	0.17800	-14.855	253.936	171.400	5.388	255.215	171.545	184.164	252.555	172.769	204.081	253.017	172.956
91	0.18000	-14.847	253.937	171.401	5.386	255.225	171.533	184.140	252.541	172.735	204.082	253.034	172.961
