40.856	-43.078	405.441	438.463	-41.802	409.478
40.776	-43.064	405.504	437.162	-41.840	409.472
40.690	-43.089	405.488	435.879	-41.900	409.404
40.590	-43.083	405.502	434.639	-41.923	409.491
40.469	-43.078	405.558	433.306	-41.962	409.400
40.398	-43.073	405.543	432.041	-41.963	409.342
40.285	-43.077	405.520	430.777	-42.038	409.364
40.173	-43.062	405.462	429.519	-42.045	409.342
40.080	-43.068	405.443	428.197	-42.017	409.274
40.009	-43.061	405.451	426.947	-42.061	409.297
39.876	-43.049	405.412	425.662	-42.054	409.263
39.740	-43.024	405.428	424.381	-42.075	409.279
39.641	-43.020	405.396	423.043	-42.031	409.189
39.519	-43.004	405.393	421.792	-42.075	409.220
39.447	-43.009	405.460	420.477	-42.037	409.176
39.332	-42.996	405.447	419.193	-42.049	409.180
39.243	-42.989	405.451	417.939	-42.008	409.202
39.134	-42.986	405.452	416.660	-42.007	409.208
39.062	-42.977	405.483	415.344	-41.950	409.071
38.943	-42.992	405.483	414.092	-41.925	409.087
38.850	-42.990	405.487	412.785	-41.928	409.139
38.685	-42.993	405.408	411.494	-41.913	409.140
38.569	-42.962	405.451	410.204	-41.883	409.125
38.417	-42.968	405.444	408.956	-41.871	409.183
38.322	-42.971	405.471	407.635	-41.815	409.119
38.173	-42.974	405.418	406.357	-41.791	409.117
38.098	-42.996	405.417	405.071	-41.746	409.066
37.991	-43.000	405.453	403.786	-41.731	409.134
37.883	-43.028	405.457	402.508	-41.692	409.119
37.804	-43.018	405.452	401.206	-41.678	409.072
37.680	-43.042	405.498	399.908	-41.633	409.142
37.558	-43.039	405.531	398.632	-41.610	409.123
37.480	-43.041	405.585	397.340	-41.570	409.078
37.344	-43.069	405.618	396.031	-41.541	409.110
37.229	-43.059	405.559	394.757	-41.536	409.129
37.128	-43.091	405.554	393.436	-41.488	409.071
37.034	-43.081	405.545	392.186	-41.470	409.034
36.886	-43.084	405.493	390.917	-41.459	409.032
36.794	-43.097	405.510	389.617	-41.424	409.020
36.665	-43.077	405.494	388.341	-41.401	408.985
36.544	-43.077	405.482	387.033	-41.352	408.901
36.457	-43.100	405.489	385.768	-41.364	409.019
36.347	-43.095	405.513	384.470	-41.341	408.898
36.258	-43.104	405.508	383.217	-41.293	408.901
36.186	-43.118	405.529	381.926	-41.308	408.890
36.073	-43.108	405.494	380.659	-41.292	408.936
35.972	-43.141	405.465	379.365	-41.279	408.813
35.825	-43.107	405.410	378.049	-41.250	408.753
35.762	-43.132	405.480	376.760	-41.254	408.811
35.588	-43.113	405.444	375.500	-41.249	408.831
35.442	-43.092	405.424	374.200	-41.227	408.760
35.323	-43.108	405.402	372.905	-41.211	408.748
35.215	-43.135	405.429	371.625	-41.250	408.812
35.115	-43.144	405.433	370.370	-41.243	408.746
35.024	-43.141	405.461	369.051	-41.242	408.663
34.935	-43.151	405.433	367.787	-41.249	408.664
34.820	-43.160	405.434	366.512	-41.282	408.709
34.755	-43.191	405.504	365.212	-41.299	408.670
34.607	-43.207	405.488	363.888	-41.290	408.642
34.518	-43.214	405.505	362.647	-41.342	408.700
34.353	-43.177	405.469	361.343	-41.343	408.674
34.220	-43.168	405.476	360.078	-41.385	408.626
34.130	-43.211	405.520	358.760	-41.401	408.585
34.016	-43.201	405.462	357.487	-41.458	408.645
33.890	-43.213	405.450	356.223	-41.472	408.609
33.814	-43.237	405.425	354.901	-41.494	408.572
33.688	-43.223	405.469	353.608	-41.556	408.627
33.576	-43.226	405.470	352.352	-41.577	408.691
33.504	-43.254	405.527	351.034	-41.591	408.594
33.354	-43.236	405.553	349.718	-41.632	408.571
33.237	-43.243	405.577	348.421	-41.667	408.556
33.146	-43.256	405.595	347.153	-41.709	408.559
33.016	-43.258	405.592	345.851	-41.748	408.507
32.898	-43.278	405.501	344.527	-41.761	408.440
32.816	-43.273	405.519	343.299	-41.835	408.553
32.679	-43.249	405.513	342.011	-41.867	408.536
32.507	-43.245	405.490	340.684	-41.899	408.423
32.405	-43.239	405.505	339.383	-41.942	408.459
32.278	-43.216	405.535	338.105	-41.967	408.527
32.164	-43.234	405.549	336.839	-42.002	408.475
32.067	-43.244	405.554	335.537	-42.019	408.417
31.971	-43.244	405.477	334.257	-42.079	408.433
31.876	-43.237	405.550	333.011	-42.110	408.432
31.800	-43.258	405.571	331.696	-42.144	408.402
31.657	-43.262	405.555	330.436	-42.197	408.364
31.553	-43.256	405.511	329.144	-42.237	408.400
31.420	-43.257	405.509	327.843	-42.241	408.374
31.305	-43.243	405.519	326.546	-42.283	408.307
31.188	-43.237	405.507	325.250	-42.310	408.227
31.061	-43.234	405.482	324.026	-42.347	408.299
30.956	-43.218	405.484	322.714	-42.376	408.317
30.839	-43.213	405.449	321.397	-42.408	408.231
30.737	-43.229	405.453	320.093	-42.418	408.251
30.650	-43.218	405.413	318.841	-42.462	408.241
30.520	-43.234	405.423	317.566	-42.509	408.246
30.416	-43.216	405.470	316.237	-42.536	408.198
30.291	-43.228	405.458	314.908	-42.518	408.167
30.173	-43.199	405.456	313.637	-42.561	408.217
30.046	-43.194	405.454	312.376	-42.585	408.204
29.977	-43.206	405.430	311.076	-42.582	408.168
29.827	-43.193	405.365	309.773	-42.613	408.102
29.718	-43.193	405.321	308.498	-42.655	408.180
29.645	-43.210	405.297	307.194	-42.666	408.189
29.494	-43.207	405.337	305.901	-42.695	408.118
29.364	-43.206	405.380	304.580	-42.682	408.129
29.262	-43.180	405.450	303.322	-42.709	408.141
29.174	-43.172	405.455	302.047	-42.719	408.129
29.033	-43.190	405.475	300.724	-42.689	408.089
28.901	-43.176	405.460	299.462	-42.697	408.048
28.782	-43.192	405.439	298.167	-42.706	408.121
28.666	-43.201	405.440	296.890	-42.686	408.170
28.560	-43.193	405.419	295.564	-42.684	408.103
28.443	-43.202	405.420	294.254	-42.676	408.068
28.260	-43.178	405.394	292.980	-42.680	408.066
28.161	-43.184	405.467	291.682	-42.649	408.097
28.006	-43.145	405.423	290.386	-42.648	408.073
27.899	-43.150	405.437	289.070	-42.614	408.037
27.804	-43.177	405.432	287.782	-42.587	407.977
27.731	-43.183	405.477	286.460	-42.560	408.030
27.625	-43.189	405.491	285.232	-42.563	408.017
27.509	-43.183	405.480	283.920	-42.524	407.962
27.359	-43.155	405.425	282.645	-42.504	407.977
27.272	-43.174	405.502	281.346	-42.517	407.978
27.047	-43.146	405.434	280.079	-42.486	407.972
26.992	-43.163	405.436	278.752	-42.470	407.945
26.849	-43.169	405.398	277.470	-42.423	407.894
26.735	-43.155	405.409	276.197	-42.420	407.884
26.636	-43.150	405.401	274.903	-42.399	407.900
26.548	-43.144	405.384	273.620	-42.382	407.884
26.449	-43.167	405.424	272.362	-42.348	407.877
26.353	-43.154	405.439	271.049	-42.324	407.827
26.226	-43.166	405.428	269.760	-42.305	407.862
26.068	-43.144	405.464	268.492	-42.304	407.875
25.946	-43.128	405.440	267.168	-42.267	407.883
25.844	-43.144	405.445	265.877	-42.239	407.820
25.730	-43.135	405.388	264.600	-42.255	407.750
25.613	-43.117	405.318	263.296	-42.221	407.809
25.517	-43.134	405.359	262.049	-42.216	407.810
25.371	-43.113	405.340	260.740	-42.187	407.809
25.248	-43.132	405.365	259.411	-42.146	407.723
25.140	-43.103	405.422	258.160	-42.169	407.782
25.015	-43.107	405.433	256.853	-42.141	407.761
24.891	-43.118	405.444	255.583	-42.117	407.794
24.785	-43.141	405.427	254.269	-42.107	407.751
24.687	-43.135	405.442	252.965	-42.110	407.716
24.559	-43.149	405.384	251.692	-42.084	407.776
24.462	-43.160	405.390	250.407	-42.089	407.727
24.277	-43.141	405.387	249.109	-42.080	407.782
24.151	-43.114	405.395	247.769	-42.073	407.700
24.034	-43.143	405.410	246.501	-42.071	407.685
23.911	-43.109	405.441	245.172	-42.040	407.692
23.791	-43.123	405.443	243.934	-42.068	407.685
23.698	-43.142	405.461	242.597	-42.026	407.727
23.573	-43.146	405.473	241.301	-42.024	407.632
23.477	-43.134	405.488	239.985	-42.014	407.666
23.304	-43.128	405.489	238.701	-42.005	407.652
23.218	-43.132	405.462	237.446	-42.033	407.706
23.057	-43.118	405.453	236.096	-41.999	407.739
22.955	-43.100	405.501	234.821	-42.001	407.673
22.836	-43.118	405.457	233.544	-42.018	407.647
22.697	-43.100	405.452	232.259	-42.038	407.669
22.547	-43.088	405.389	230.948	-42.023	407.664
22.447	-43.106	405.371	229.652	-42.030	407.683
22.336	-43.115	405.409	228.356	-42.030	407.640
22.224	-43.115	405.456	227.039	-42.049	407.630
22.090	-43.122	405.455	225.760	-42.073	407.564
22.011	-43.122	405.555	224.497	-42.081	407.600
